category,question ,answer,bonus,final_trivia,double_jeopardy
History,What former US president founded the University of Virginia in 1819?,Thomas Jefferson,,,
History,On what holiday did construction of the Empire State Building begin in 1930?,St. Patricks Day,,,
History,"Who proposed the idea of ""Laissez-faire"" in his book the Wealth of Nations, published in 1776?",Adam Smith,,,
History,Which European republic was the first to reach Australia in 1606?,The Dutch,,,
History," In 1853, what country sold the US land, in what was known as the Gadsden Purchase?",Mexico,,,
History,What disease grounded astronaut Ken Mattingly from Apollo 13 in 1970?,The Measles,,,
History,"In 1947, Chuck Yeager became the first pilot in history to do what?",Brake the sound barrier,,,
History,"What military legend was nicknamed ""Old Fuss and Feathers""? War of 1812",General Winfield Scott,TRUE,,
Food & Beverage,"What kind of tea takes its name from the Chinese for ""Black dragon""?",Oolong,,,
Food & Beverage,In France what is a Framboise?,Raspberry,,,
Food & Beverage,What country is the original home of Bacardi rum?,Cuba,,,
Food & Beverage,A Winkle is a species of what kind of edible sea delicacy?,Sea Snail,,,
Food & Beverage,What must a mole do every four hours or it will die? Eat or Drink?,Eat,,,
Food & Beverage,Red Stripe beer originated from what island country?,Jamaica,,,
Food & Beverage,What is the name for a baby turkey?,Poult,,,
Food & Beverage,What is Albumen more commonly known as?,Egg White,TRUE,,
Not So Common Sense,"In 1968 what company introduced the Sting-Ray Krate, a forerunner to the BMX?",Schwinn,,,
Not So Common Sense,"In the card game Bridge, what is considered the highest of the four suits? What is the lowest?","Spades, Clubs",,,TRUE
Not So Common Sense,What was the original intended use for the RC car prior to being a toy?,War/Weapon,,,
Not So Common Sense,What is the longest running US game show?,The Price is Right,,,
Not So Common Sense,The clarinet is a member of what family of instruments?,Woodwinds,,,
Not So Common Sense,What prayer is said ten times during each sequence of a Catholic rosary?,Hail Mary,,,
"Not So Common Sense,Olympics","In Olympic competitions, what are the heights of the diving boards?",3 and 10 meters,,,TRUE
Not So Common Sense,What is the name of the leading female singer in an opera?,Primma Donna,TRUE,,
Geography,"Covering most of Mount Desert Island and other coastal islands, what National Park, located southwest of Bar Harbor, Maine, features granite peaks, ocean shoreline, woodlands, and lakes, as well as the tallest mountain on the Atlantic coast of the US? It was the first national park east of the Mississippi River and remains the only one in the Northeastern United States.",Acadia National Park,,TRUE,
Science,"What nocturnal mammals of the order Pholidota (Greek for ""horny scale""), which live solitary lives in hollow trees or burrows in Africa and Asia, and which have a diet consisting mainly of ants and termites, are the only mammals with scales? Poachers target them throughout Asia and Africa primarily for their scales, which are used as an ingredient in traditional Chinese medicine. They are the most trafficked mammals in the world. Before 2000, the United States was also a major contributor to the reduction in pangolin populations, with their skins imported for use in exotic boots, belts, and wallets.",Pangolins,,TRUE,
Mathematics,"Mathematics: In the late 19th century, German mathematician Georg Cantor determined that infinities can come in different sizes. What name, the mathematical term for a measure of the ""number of elements of the set"", is used to refer to these different sizes?","Cardinalities - It proved that there was more than one type of infinity, noting that (in layman's terms) the collection of real numbers and the collection of positive integers were both infinite, but that there had to be more real numbers than positive integers (since positive integers are a subset of real numbers), and hence there must by different cardinalities of infinity.",,TRUE,
Not So Common Sense,What four colors traditionally correspond with first through fourth place ribbons?,,,,
Toys,"What video game franchise, now consisting of 122 games, released its first game in February 1996?",Pokemon,,,
Toys,"In 1972, the air hockey table was invented by engineers working for what billiard and bowling equipment company?",Brunswick,,,
Toys,What was the first toy advertised on television (1952)?,Mr. Potato Head,,,
Toys,What Is the Largest (most pieces) Lego set of all time?  Bonus point: name top 2,"Millenium Falcon Ultimate Collector's Series, Hogwarts Castle",,,TRUE
Toys,What is the regulation basketball hoop height in feet?,10',,,
Toys,"Which Austin, TX based company shares its name with its most iconic and patented product, marketed as the ""#1 male sex toy in the world""?",Video Killed the Radio Star,,,
Toys,"In Thomas the Tank Engine, what is the name of the green train?",Percy (or Duck),,,
Canada,Who is the current prime minister of Canada? ,Justin Trudeau,,,
Canada,"As of today, what is the only Canadian NHL team leading their division?",Edmonton Oilers,,,
Canada,"If it's 5 pm in British Colombia, what time is it on the easternmost time zone of Canada?   ",9:30 PM (Newfoundland),,,
Canada,Who was the first Canadian drafted as the NBA #1 pick?,Anthony Bennett (2013),,,
Canada,In which month is Canadian thanksgiving?,October,,,
Canada,"Which actor was featured in Toy Story 4 as the voice of Duke Caboom, Canada's greatest daredevil and stuntman?",Avocado,,,
Canada,Which former Colorado Rockies coach was fired on November 9 from his position as a Hockey Night in Canada commentator?,Don Cherry,,,
Canada,What are the first 15 words of the Canadian National Anthem?,Oh Canada my home and native land true patriot love in all thy sons command,TRUE,,
Food & Beverage,What ingredient must French vanilla ice cream have in it to distinguish it from regular vanilla?,Eggs,,,
Food & Beverage,What was the original brand of cereal whose mascot was CinnaMon?,Apple Jacks,,,
Food & Beverage,Which food manufacturer produces and sells Cheez Whiz?,Kraft,,,
Food & Beverage,"Out of these three, which hop varietal has the highest alpha acid levels? Cascade, Centennial, Citra ",Citra,,,
Food & Beverage,"Billionaire Vodka, the ""most expensive vodka in the world,"" retails for 3.7 million dollars.  Within 100, how many actual diamonds are on the bottle?",3000,,,
Food & Beverage,In the game Ms. Pac-Man eating what fruit was worth 5000 points?,Banana,,,
Food & Beverage,How many beans of coffee are needed to make an espresso?,40,,,
Food & Beverage,Which civilizations created the predessesor of modern day peanut butter?,Incas and Aztecs,TRUE,,TRUE
History,"Established in 1862, which was the world's first national park?",Yellowstone,,,
History,In what year was the tour de france est.? a) 1903 b) 1906 c)1910,a) 1903,,,
History,What famous Scientist credited with the invention of pasteurization is also credited with the invention of the rabies vaccination?,Louis Pasteur,,,
History,In what year did Jessie Owens win four Olympic gold medals?,Berlin 1936,,,
History,"Who renamed the presidential yacht ""Honey Fritz,"" in honor of his grandfather, a former Boston mayor?",President JFK,,,
History,Every British Tank since 1945 has been equipped with the ability to make what?,Tea,,,
History,"Within 15 years, what year was Boulder High school Established?",1875,,,
Sports,What is only city to win three major professional sports championships in the same year?,Detroit,,TRUE,
History,"Which US president lived in La Casa Pacifica a California beachfront mansion located in San Clemente, California?",Richard Nixon,,,
History,Junko Tabei the first woman to reach what landmark in 16 May 1975?,Mount Everest,,,
History,What event prevented the lighting of the US National Christmas Tree in 1979? Jimmy Carter,Iran Hostage Crisis,,,
History,"On the day George Washington was first inaugurated as President of the United States, how many United States were there?  How many were there on his last day in office?","11,16",,,TRUE
History,"What city was Tupac Shakur killed in on September 7, 1996?",Las Vegas,,,
History,What was the first music video that aired on MTV in 1981?,Video Killed the Radio Star,,,
History,"On June 12, 1970, What Pittsburgh Pirates pitcher did something that, by all rights, should be completely impossible: He went and threw a no-hitter while high on LSD, otherwise known as acid.",Dock Ellis,,,
History,Dock Ellis later said he halucinated that who was playing catcher and attributed to the No-Hitter.,Richard Nixon,TRUE,,
,CATEGORY: Food and drink,,,,
,Questions (Bonus = 2 pts),Answers,,,
Food & Beverage,What was the original flavor of Twinkie Filling? ,Banana Cream,,,
Food & Beverage,Which pasta is wider? Fettuccine or Linguine,Fettuccine,,,
Food & Beverage,"In which country did vanilla originate?	",Mexico,,,
Food & Beverage,"In ancient Chinese mythology, what fruit was believed to represent longevity and immortality?",Peach,,,
Food & Beverage,What is the main ingredient in bubblegum?,Chicle,,,
Food & Beverage,The alligator pear is another name for what kind of fruit?,Avocado,,,
Food & Beverage,"What is the most commonly eaten fruit in the world?	Mango","Vodka, triple sec and lime juice",,,
Food & Beverage,"Name 3 of the 5 ""mother sauces"" in french cuisine.","Béchamel sauce, Espagnole sauce, Hollandaise sauce, Tomato sauce, and Velouté sauce.",TRUE,,
Not So Common Sense,What country became third in the world to test an atom bomb in 1952?,Great Britian,,,
Not So Common Sense,Myopia is better known by what other name?,Near Sightedness,,,
Not So Common Sense,"Which is longer, a python or a boa constrictor?",Python,,,
Not So Common Sense,"What defined as ""the ratio between a circle's circumference and its diameter""?",Pi,,,
Not So Common Sense,Earthquakes are measured in terms of their intensity and Magnitude.  What 2 scales are used to measure Intensity and Magnitude respectively?,"Mercalli, Richter",,,TRUE
Not So Common Sense,How many times a year does the sun rise and set at the North Pole?,once,,,
Not So Common Sense,What is a wallaby?,Kangaroo,,,
Not So Common Sense,What kind of object is smaller than its own Schwarzschild radius?,Black Hole,TRUE,,
"Entertainment,James Bond","List the names of the 5 of the 7 James Bond actors in the Bond films.	","Sean Connery, David Niven, George Lazenby, Roger Moore, Timothy Dalton, Pierce Brosnan, Daniel Craig",,TRUE,
Not So Common Sense,Spell Arnold Schwarzenegger correctly.,Schwarzenegger,,TRUE,
Art & Literature,Who was the first ever rap artist to the prestigious Pulitzer Prize for journalism?,Kendrick Lamar,,TRUE,
History,What is the winningest number in the Tour de France with over 24 riders winning wearing this bib number?,1,,,
History,Who won their first Ocsar in 2016 for Best Actor?,Leo D,,,
"History,Art & Literature",What was the name of JK Rowling's first harry Potter book released in the UK in 1997?,Philosher's Stone,,,
History,Who was the first American Idol winner in 2002?,Kelly Clarkson,,,
History,This feature came to portable CD players in the early '90s and made it possible for kids and adults alike to enjoy their music without missing a beat.,Skip Protection,,,
History,"In 1995 ""Boy Meets World"" and ""Full House"" were part of what network's primetime lineup.",ABC,,,
History,Beavis and Butthead wore shirts with the names of what two bands?,AC/DC & Metallica,,,TRUE
History,On what day of the week did the infamous 9/11 attacks occur in 2001?,Tuesday,TRUE,,
Food & Beverage,In what US state was Kool-Aid invented?,Nebraska,,,
Food & Beverage,What beer made Milwaukee famous?,Schlitz,,,
Food & Beverage,What are Persian apples known as today?,Peaches,,,
Food & Beverage,"What soft drink used the ad slogan ""Obey your thirst"" for almost two decades?",Sprite,,,
Food & Beverage,What fruit are Kriek lambics made with? Belgian beer - Lambic + this fruit,Red Balloon,,,
Food & Beverage,What 3 ingredients make a Dark 'N Stormy?,"Rum, Ginger Beer, and Lime",,,
Food & Beverage,what country produces the most olive oil in the world in terms of tons of oil.,Spain,,,
Food & Beverage,What is the more commonly used name for the spice pimento?,All Spice,TRUE,,
Not So Common Sense,Who is the oldest of the Kardashian sisters?,Kourtney,,,
Not So Common Sense,What was Tullio Campagnolo's first invention?,The QR Skewer,,,
Not So Common Sense,"In what Star Wars film does Darth Vader say the famous line ""Luke, I am your Father""","None - Empire Strikes Back ""No, I am your Father.""",,,
Not So Common Sense,What is Paul McCartney's middle name?,Paul - James Paul McCartney,,,
Not So Common Sense,T or F - Elvis' hair was naturally black.,False - Blonde,,,
Not So Common Sense,"What was the name of the Lone Ranger's horse from ""The Lone Ranger"" which ran from 1949-1954?
",Silver,,,
Not So Common Sense,What is the best selling pop album of all time?,Thriller,,,
Not So Common Sense,This actor won the Oscar for Best Supporting Actor in 2015 for Whiplash. He has also been the pitchman for Farmers Insurance Group since 2010. Can you name him?,J.K. Simmons,TRUE,,
Sports,"To date, Lebron James has played in fifteen NBA seasons, four of which ended with him receiving the league MVP and nine of which ended with him appearing in the NBA Championships, including eight straight. How many NBA Champions has he won?",Three,,TRUE,
Geography,"The Great Lakes are, by far, the five largest lakes in the US by volume. What lake, which sits an elevation of 6,225 feet is the 6th largest by volume?",Lake Tahoe,,TRUE,
"Science,Biology","Derived from the Greek for the study of fungus, what branch of biology is concerned with the study of mushrooms, including their genetic and biochemical properties, taxonomy, benefits to humans, and also dangers, such as toxicity and infection?",Mycology,,TRUE,
History,Whose death in office made Calvin Coolidge US president in 1923? This President is considered to be the worst president in American History due to scandals that came to light poshoumously.,Warren G. Harding,,,
History,Which Greek island was the center of the Minoan civilization?,Crete,,,
History,In 1894 Union General William T. Sherman ordered what US city to be burned?,"Atlanta, Georgia",,,
History,The Battle of Lexington occurred at the start of what war?,The American Revolution,,,
History,What year did BMW debut the M5 at the Amsterdam Motor Show?,1985,,,
History,Construction of the Colosseum finished under the ruling of which emperor in 80 AD? After Vespasian,Titus,,,
History,"In 1775, the Continental Congress appointed who as the United States' 1st Postmaster General (PMG). ",Benjamin Franklin,,,
History,"The ""Turbot War"" in the 1990s was a fishing dispute between Canada and what other country?",Spain,TRUE,,
Food & Beverage,Who was the first person to plant a vineyard in the Bible?,Noah,,,
Food & Beverage,"If a dish is served pomontier, what does it contain?",Potatoes,,,
Food & Beverage,"What did cowboys refer to as ""tonsil paint""?",Whiskey,,,
Food & Beverage,What is a turkey stuffed with a duck stuffed with a chicken called?,Turducken,,,
Food & Beverage,What are Roy W. Allen and Frank Wright famous for?,A&W Root Beer,,,
Food & Beverage,"When first published, what was the original intent of the ""Michelin Food Guide""?",Boost Tire Sales,,,
Food & Beverage,Which three ingredients does a Kamikaze cocktail contain?,"Vodka, triple sec and lime juice",,,
Food & Beverage,What did Nestle freeze dry in 1938 that led to the development of powdered food products?,Coffee,TRUE,,
Not So Common Sense,Whose profile is displayed on the Purple Heart medal?,G. Washington,,,
Not So Common Sense,"What common legal item literally means ""under penalty""?",Subpeona,,,
Not So Common Sense,"What sport's lingo uses the term ""Bonspiel""?",Curling,,,
Not So Common Sense,At what university did Tiger Woods play collegiate golf for two years before turning pro?,Stanford,,,
Not So Common Sense,Which two animals are said to represent optimists and pessimists in the stock market?,Bear and Bull,,,TRUE
Not So Common Sense,How much did the first Hot Wheels car sell for in 1968?,$0.69,,,
Not So Common Sense,How many different falling pieces are there in the game Tetris?,Seven,,,
Not So Common Sense,What is sometimes referred to as Zulu time?,Greenwich Mean Time,TRUE,,
