category,question ,answer,bonus,final_trivia,double_jepardy
"History,Christmas","What Christmas-themed ballet premiered in Saint Petersburg, Russia in 1892?",The Nutcracker,,,
"History,Christmas",Where does the nativity scene take place?,Bethleham,,,
"History,Christmas",How many wise men / Magi / kings does the bible say visited the baby Jesus?,It doesn't,,,
"History,Christmas",Who created the first electric light Christmas display in 1880?,Thomas Edison,,,
"History,Christmas",What Christian group banned Christmas in Boston from 1659 to 1681?,Puritans,,,
"History,Christmas","In The Polar Express (2004), what does the conductor punch on Billy's ticket?",BELIEVE,,,
"History,Christmas",What christmas decoration was originally made from strands of silver?       ,Tinsel,,,
"History,Christmas","In what decade did NORAD (North American Aerospace Defense Command, formerly CONAD) start tracking Santa on Christmas Eve?",1950s,TRUE,,
Food & Beverage,Stollen is the traditional fruit cake of which country?,Germany,,,
Food & Beverage,In which direction should you stir mincemeat for good luck; clockwise or anti-clockwise?,Clockwise,,,
"Food & Beverage,Christmas",Which spirit is traditionally added to butter and served with Christmas pudding?,Brandy,,,
"Food & Beverage,Christmas","In the Christmas movie Elf  buddy says ""We elves try to stick to the four main food groups"" What are they?","candy, candy canes, candy corn, and syrup",,,TRUE
"Food & Beverage,Christmas","What is a ‘Bûche de Noël’, which is a name for what commonly eaten item in France at Christmas?",Yul Log,,,
Food & Beverage,"As the clock chimes midnight to ring in the New Year, a Spanish tradition involves eating twelve of what – one for each chime?",Grapes,,,
"Food & Beverage,Christmas",What is the most popular meal for Christmas in Japan?,KFC - Fried Chicken,,,
"Food & Beverage,Christmas",What does the Grinch steal the last can of in How the Grinch Stole Christmas?,Who Hash,TRUE,,
"Not So Common Sense,Christams","In the song “Frosty the Snowman,” what made Frosty come to life?",His old silk hat,,,
Not So Common Sense,Celebration of the Jewish New Year is known as what?,Rosh Hashanah,,,
Not So Common Sense,What holiday movie includes a cameo by Donald Trump?,Home Alone 2,,,
"Not So Common Sense,Christams",Which ocean is Christmas Island located in?,Indian Ocean,,,
"Not So Common Sense,Christams","What got Flick to lick the frozen flag pole in the movie, Christmas Story?",A triple-dog dare,,,
Not So Common Sense,"In the movie It’s A Wonderful Life, what happened every time a bell rang?",An Angel got its wings,,,
"Not So Common Sense,Christams","According to the Guiness Book of WR, What is the best selling Christmas song of all time? ",White Christmas - Bing Crosby,,,
"Not So Common Sense,Christams","What is the name of the character that Dwight Schrute dresses up as during christmas that he claims is far better than santa and spreads fear rather than joy during the holidays.
",Belschnickel,TRUE,,
,Final Trivia *,,,,
,Questions ,Answers,,,
Not So Common Sense,Spell Arnold Schwarzenegger correctly.,Schwarzenegger,,TRUE,
Food & Beverage,"Name 3 of the 5 ""mother sauces"" in french cuisine.","Béchamel sauce, Espagnole sauce, Hollandaise sauce, Tomato sauce, and Velouté sauce.",,TRUE,
History,What is the federal hourly minimum wage?,$7.25,,TRUE,
History,Which U.S. president made the first presidential radio broadcast?,Calvin Coolidge,,,
History,What president delivered the gettysburg address?,Abraham Lincioln,,,
History,The penny-farthing was a type of what?,Bicycle,,,
History,What was the name of the ship on which Charles Darwin served as a naturalist during a voyage to South America and around the world?,H.M.S. Beagle,,,
History,Which christian missionary is said to have banished all the snakes from Ireland?,St. Patrick,,,
History,Who is credited with the assassination of American outlaw Jesse James?,Robert Ford,,,
History,What three countries were part of the Axis powers in World War II?,"Germany, Italy Japan",,,
History,Who was the first person to climb mount everest?,"NZL Sir Edmund Hillary, Sherpa Tenzing Norgay",,,
History,Who led the first expedition to sail around the world?,Ferdinand Magellan,,,
History,Who was the first person selected as Time Magazine's Man of the Year? And what year?,"Charles Lindbergh, 1927",,,TRUE
History,"The Communist Manifesto was written by two German philosophers, one of whom was Karl Marx. Who was the second?",Karl Marx and Friedrich Engels,TRUE,,
Food & Beverage,Sriracha is type of hot sauce named after a city located in what country?,Thailand,,,
Food & Beverage,Roquefort is a French blue cheese made from the milk of what animal?,Sheep,,,
Food & Beverage,What is name of the scale used to measure the spicy heat of peppers?,Scoville Scale,,,
Food & Beverage,Chimichurri is a green sauce that originated in what country?,Argentina,,,
Food & Beverage,What is a teetotaler?,A person who abstains entirely from consuming alcohol,,,
Food & Beverage,What is the highest number of Michelin stars a restaurant can receive?,3,,,
Food & Beverage,What is the name of Scotland's National Food Dish?,Haggis,,,
Food & Beverage,Which non-alcoholic cordial is made from pomegranates?,Grenadine,,,
Food & Beverage,"Traditionally, the term ""caviar"" refers to the salt-cured roe of which fish?",Sturgeon,,,
Food & Beverage,What are the four main ingredients of beer?,"Grain, hops, yeast, and water",,,
Food & Beverage,"Name 3 of the 5 ""mother sauces"" in french cuisine.","Béchamel sauce, Espagnole sauce, Hollandaise sauce, Tomato sauce, and Velouté sauce.",TRUE,,
Not So Common Sense,How many years are in a score?,20 years,,,
Not So Common Sense,"What is considered to be the largest ""berry""?",Pumpkin/Watermelon,,,
Not So Common Sense,Which is the most abundant metal in the earth's crust?,Aluminum,,,
Not So Common Sense,In what month is the Earth closest to the sun?,January,,,
Not So Common Sense,The island of Saipan is a commonwealth of which country?,U.S.A.,,,
Not So Common Sense,What was the first console video game that allowed the game to be saved?,The Legend of Zelda,,,
Not So Common Sense,"""Call me Ishmael"" is the opening line from what novel?",Moby Dick,,,
Not So Common Sense,"In Shakespeare's tragedy Romeo and Juliet, what's Romeo's last name?",Montague,,,
Not So Common Sense,Who developed and patented the electrical telegraph in the United States in 1837?,Samuel Morse,,,
Not So Common Sense,"The United States Constitution replaced what other document on March 4, 1789?",The Articles of Confederation,,,
Not So Common Sense,What is the most common blood type in humans?,O+,TRUE,,
Business,"What do the three ""m""s in The 3M Company stand for",Minnestoa Mining and Manufacturing,,TRUE,
History,"The Pax Romana, a roughly 200-year-long period in Roman history which is identified with sustained peace and stability, began with accession of Caesar Augustus in 27 BC and ended with the death of what Roman emperor and Stoic philosopher in 180 AD?",Marcus Aurelius,,TRUE,
"Science,Medicine","What generic nonsteroidal anti-inflammatory drug (NSAID), introduced in 1976 and used to treat pain, menstrual cramps, inflammatory diseases such as rheumatoid arthritis, and fever, is marketed under names including Aleve, Accord, and Midol?",ibprofen,,TRUE,
Daylight Savings Time,"After a visit to Paris in 1784, who wrote an essay where he calculated that the city could save $200 million in candles of today's dollars if they adopted DST?",Benjamin Franklin,,,
Daylight Savings Time,Which TWO US states do not observe DST?,Arizona and Hawaii,,,
Daylight Savings Time,T/F There is a decrease in SAT scores when administered after DST,TRUE,,,
Daylight Savings Time,"According to Finnish researchers, DST has a worse affect on night owls or morning people?",Night owls,,,
Daylight Savings Time,"In what year was the Uniform Time Act established? Prior to this, each state was allowed to decide when their DST period began and ended",Jupiter,,,
Daylight Savings Time,At what exact time does DST begin each year on the second Sunday of March?,2:00 AM,,,
Daylight Savings Time,"While residents of Port Arthur, Ontario first implemented DST in 1908, what country began to observe it 8 years later?",Germany/Austria,,,
Daylight Savings Time,Name the THREE major industrialized countries that do not observe DST.,"Japan, China, India",TRUE,,
Food & Beverage,From what ype of flower does a vanilla pod come?,Orchid,,,
Food & Beverage,"What is added to a martini to make a ""Dirty Martini""",Olive brine,,,
Food & Beverage,What are the two main ingredients of a Dark and Stormy cocktail?,Dark rum and ginger beer,,,
Food & Beverage,What drink is sometimes referred to as Adam's Ale?,Water,,,
Food & Beverage,What type of fruit is a durian?,A fruit (spiky with strong odor),,,
Food & Beverage,"Purple dragon, white satin, and bolero are varieties of which popular vegetable?",Carrot,,,
